BSN,Building,Name,type,color,eMail,Internet,Standort,Straße,PLZ,lat,lng
01G16,01G16,Moabiter Grundschule,grundschule,green,kontakt@moabiter-grundschule.de,http://www.moabiter-grundschule.de,Hauptstandort,Paulstr. 28,10557,52.521974,13.35657
01G18,01G18,Carl-Bolle-Grundschule,grundschule,green,info@carl-bolle-grundschule.de,http://www.carl-bolle-grundschule.de,Hauptstandort,Waldenserstr. 20-21,10551,52.528894,13.331807
01G19,01G19,Hansa-Grundschule,grundschule,green,sekretariat@hansa.online,http://www.hansa-grundschule-online.de,Hauptstandort,Lessingstr. 5,10555,52.5214,13.34019
01G24,01G24,Gottfried-Röhl-Grundschule,grundschule,green,01G24@01G24.schule.berlin.de,,Hauptstandort,Ungarnstr. 75,13349,52.55719,13.35717
01G25,01G25,Rudolf-Wissell-Grundschule,grundschule,green,Schulleitung@rudolf-wissell.schule.berlin.de,http://www.rudolf-wissell-grundschule.de,Hauptstandort,Ellerbeker Str. 7-8,13357,52.55158,13.39611
01G27,01G27,Gesundbrunnen-Grundschule,grundschule,green,sekretariat@gesundbrunnen-grundschule.de,http://www.gesundbrunnen-grundschule.de,Hauptstandort,Prinzenallee 8,13357,52.55338,13.38292
01G28,01G28,Brüder-Grimm-Grundschule,grundschule,green,sekretariat@bggs.schule.berlin.de,http://bggs-berlin.de,Hauptstandort,Tegeler Str. 18-19,13353,52.54146,13.35783
01G29,01G29,Wilhelm-Hauff-Grundschule,grundschule,green,01g29@01g29.schule.berlin.de,http://wilhelm-hauff-grundschule.de,Hauptstandort,Gotenburger Str. 8,13359,52.557813,13.384347
01G31,01G31,Wedding-Grundschule,grundschule,green,plorenz@wedding-schule.de,http://www.wedding-schule.de,Hauptstandort,Antonstr. 10,13347,52.546206,13.362468
01G32,01G32,Carl-Kraemer-Grundschule,grundschule,green,carl-kraemer-grundschule@t-online.de,http://www.carl-kraemer-gs.de,Hauptstandort,Zechliner Str. 4,13359,52.56107,13.38284
01G35,01G35,Humboldthain-Grundschule,grundschule,green,sekretariat@humboldthain.schule.berlin.de,http://www.humboldthain-grundschule.de,Hauptstandort,Grenzstr. 7,13355,52.54323,13.380143
01G36,01G36,Andersen-Grundschule,grundschule,green,info@andersen-grundschule.de,http://www.andersen-grundschule.de,Hauptstandort,Kattegatstr. 26,13359,52.56553,13.38891
01G37,01G37,Heinrich-Seidel-Grundschule,grundschule,green,info@hsgs.berlin,http://www.hsgs.berlin,Hauptstandort,Ramlerstr. 9-10,13355,52.54695,13.39407
01G38,01G38,Gustav-Falke-Grundschule,grundschule,green,info@gustav-falke-schule.de,http://www.gustav-falke-schule.de,Hauptstandort,Strelitzer Str. 42,13355,52.53795,13.39162
01G39,01G39,Vineta-Grundschule,grundschule,green,info@vineta.schule.berlin.de,http://www.vineta-grundschule.de,Hauptstandort,Demminer Str. 27,13355,52.54222,13.3969
01G40,01G40,Möwensee-Grundschule,grundschule,green,sekretariat@moewensee-schule.de,http://www.moewensee-schule.de,Hauptstandort,Afrikanische Str. 123-125,13351,52.55575,13.33375
01G41,01G41,Erika-Mann-Grundschule,grundschule,green,erika.mann.grundschule@googlemail.com,http://www.erika-mann-grundschule.com,Hauptstandort,Utrechter Str. 25-27,13347,52.55099,13.35786
01G42,01G42,Anna-Lindh-Schule (Grundschule),grundschule,green,01G42@01G42.schule.berlin.de,http://www.anna-lindh-schule.de,Hauptstandort,Guineastr. 17-18,13351,52.550375,13.341886
01G43,01G43,Albert-Gutzmann-Schule (Grundschule),grundschule,green,info@gutzmannschule.de,http://www.gutzmannschule.de,Hauptstandort,Orthstr. 1,13357,52.549234,13.373261
01G44,01G44,Allegro-Grundschule,grundschule,green,berlin@allegro-grundschule.de,http://www.allegro-grundschule.de,Hauptstandort,Lützowstr. 83-85,10785,52.503571,13.363001
01G45,01G45,Leo-Lionni-Grundschule,grundschule,green,info@leo-lionni-grundschule.de,http://www.leo-lionni-grundschule.de,Hauptstandort,Müllerstr. 158,13353,52.544342,13.361352
01G46,01G46a,Grundschule am Koppenplatz,grundschule,green,sekretariat@koppenplatz.schule.berlin.de,http://www.schule-am-koppenplatz.de,Hauptstandort,Koppenplatz 12,10115,52.52778,13.39745
01G46,01G46b,Grundschule am Koppenplatz,grundschule,green,,,Filiale,Auguststr. 21,10117,52.526814,13.396224
01G46,01G46c,Grundschule am Koppenplatz,grundschule,green,,,Filiale,Bergstr. 5-9,10115,52.529508,13.395273
01G47,01G47,Miriam-Makeba-Grundschule,grundschule,green,01G47@01G47.schule.berlin.de,http://www.miriam-makeba-schule.de,Hauptstandort,Zinzendorfstr. 15-16,10555,52.52232,13.331446
01G48,01G48,48. Schule (Grundschule),grundschule,green,01G48@01G48.schule.berlin.de,http://www.48-schule-berlin.de,Hauptstandort,Chausseestr. 82,13353,52.538256,13.372242
01K01,01K01,Willy-Brandt-Schule,iss,beige,kontakt@willy-brandt-teamschule.de,http://www.willy-brandt-teamschule.de,Hauptstandort,Grüntaler Str. 5,13357,52.55101,13.386048
01K02,01K02,Ernst-Schering-Schule,iss,beige,info@ernst-schering-schule.de,http://www.ernst-schering-schule.de,Hauptstandort,Lütticher Str. 47/48,13353,52.54701,13.34782
01K03,01K03,Ernst-Reuter-Schule,iss,beige,info@ernst-reuter-oberschule.de,http://ernst-reuter-schule.berlin,Hauptstandort,Stralsunder Str. 57,13355,52.538896,13.394373
01K04,01K04,Heinrich-von-Stephan-Gemeinschaftsschule,gemeinschaft,lightgreen,sekretariat@hvs.schule.berlin.de,http://www.hvs-schule-berlin.de,Hauptstandort,Neues Ufer 6,10553,52.524775,13.316714
01K06,01K06,Herbert-Hoover-Schule (Integrierte Sekundarschule),iss,beige,schulleitung@hhs-berlin.de,http://www.hhs-berlin.de,Hauptstandort,Pankstraße 18-19,13357,52.546324,13.373398
01K07,01K07,Hemingway-Schule,iss,beige,sekretariat@hemingway-schule.de,http://www.hemingway-oberschule.de,Hauptstandort,Gartenstr. 10-17,10115,52.530483,13.391682
01K08,01K08a,Schule am Schillerpark (Integrierte Sekundarschule),iss,beige,sekretariat@schule-am-schillerpark.de,http://www.Schule-am-Schillerpark.de,Hauptstandort,Ofener Str. 6,13349,52.55628,13.3457
01K08,01K08b,Schule am Schillerpark (Integrierte Sekundarschule),iss,beige,,,Arbeitslehrezentrum,Edinburger Str. 53,13349,52.557154,13.345913
01K09,01K09,Hedwig-Dohm-Schule (Integrierte Sekundarschule),iss,beige,hedwig-dohm-os@web.de,http://www.hedwig-dohm-os.de,Hauptstandort,Stephanstraße 27,10559,52.53367,13.34651
01K10,01K10a,Theodor-Heuss-Gemeinschaftsschule,gemeinschaft,lightgreen,sekretariat@thgberlin.de,http://www.thgberlin.de,Hauptstandort,Quitzowstr. 141,10559,52.535722,13.354875
01K10,01K10b,Theodor-Heuss-Gemeinschaftsschule,gemeinschaft,lightgreen,,,Filiale,Siemensstr. 20,10551,52.532971,13.335494
01S01,01S01,Schule am Zille-Park,sonderpaedagogik,pink,info@schule-am-zille-park.de,http://www.schule-am-zille-park.de,Hauptstandort,Ravenéstraße 10-12,13347,52.542859,13.372782
01S05,01S05,Schule in der Charité,sonderpaedagogik,pink,sekretariat@sidc.schule.berlin.de,klinikschulecharite.wordpress.com,Hauptstandort,Augustenburger Platz 1,13353,52.542216,13.347104
01S06,01S06,Albert-Gutzmann-Schule,sonderpaedagogik,pink,info@gutzmannschule.de,http://www.gutzmannschule.de,Hauptstandort,Orthstraße 1,13357,52.549234,13.373261
01S07,01S07,Charlotte-Pfeffer-Schule,sonderpaedagogik,pink,charlotte-pfeffer-schule@gmx.de,http://www.charlotte-pfeffer.schule-berlin.net,Hauptstandort,Berolinastraße 8,10178,52.52226,13.42328
01Y02,01Y02,John-Lennon-Gymnasium,gymnasium,orange,sekretariat@jlgym-berlin.de,http://www.jlgym-berlin.de,Hauptstandort,Zehdenicker Straße 17,10119,52.530923,13.404105
01Y04,01Y04,Musikgymnasium Carl Philipp Emanuel Bach,gymnasium,orange,bach.musikgymnasium@berlin.de,http://musikgymnasium-berlin.de,,Rheinsberger Straße 4-5,10115,52.536635,13.395435
01Y07,01Y07,Französisches Gymnasium,gymnasium,orange,mdormann-farnir@fg-berlin.eu,http://www.fg-berlin.eu,,Derfflingerstr. 7,10785,52.50318,13.35549
01Y08,01Y08,Lessing-Gymnasium,gymnasium,orange,post@lessing-gymnasium-berlin.de,http://www.lessing-gymnasium-berlin.eu,Hauptstandort,Schöningstraße 17,13349,52.55734,13.34371
01Y09,01Y09,Diesterweg-Gymnasium,gymnasium,orange,sekretariat@diesterweg-gymnasium-berlin.de,http://www.diesterweg-gymnasium-berlin.de,Hauptstandort,Böttgerstraße 2,13357,52.550012,13.378338
01Y11,01Y11,Max-Planck-Gymnasium,gymnasium,orange,sekretariat@mpg-berlin.de,http://www.mpg-berlin.de,Hauptstandort,Singerstraße 8a,10179,52.515983,13.422886
01Y12,01Y12,Gymnasium Tiergarten,gymnasium,orange,sekretariat@gymnasium-tiergarten.de,http://gymnasium-tiergarten.de,Hauptstandort,Altonaer Straße 26,10555,52.51935,13.3394
02B01,02B01,August-Sander-Schule,osz,black,schulbuero@august-sander-schule.de,http://www.august-sander-schule.de,Hauptstandort,Naglerstr. 1-3,10245,52.5027351,13.4504815
02B02,02B02,Hans-Böckler-Schule (OSZ Konstruktionsbautechnik),osz,black,info@osz-kt.de,http://www.osz-kt.de,Hauptstandort,Lobeckstr. 76,10969,52.49909,13.40309
02B03,02B03,Modeschule Berlin (OSZ Bekleidung und Mode),osz,black,info@modeschule-berlin.de,https://www.modeschule-berlin.de/,Hauptstandort,Kochstr. 9,10969,52.50604,13.38927
02B04,02B04,OSZ Handel 1,osz,black,sekretariat-schulleitung@oszhandel1.de,http://www.oszhandel.de,Hauptstandort,Wrangelstr. 98,10997,52.5010196,13.436563
02B05,02B05,Jane-Addams-Schule (OSZ Sozialwesen),osz,black,kontakt@osz-soz.de,http://www.osz-soz.de,Hauptstandort,Straßmannstr. 14-16,10249,52.52161,13.44855
02G01,02G01a,Spartacus-Grundschule,grundschule,green,schulleitung@grundschule-friedrichshain.de,http://www.grundschule-friedrichshain.de,Hauptstandort,Friedenstr. 40-45,10249,52.52106,13.43582
02G01,02G01b,Spartacus-Grundschule,grundschule,green,,,Filiale,Pufendorfstraße,10249,52.521224,13.438977
02G02,02G02a,Hausburg-Grundschule,grundschule,green,sek@hausburg-gs.schule-berlin-fk.de,http://www.hausburgschule.de,Hauptstandort,Hausburgstr. 20,10249,52.524208,13.454324
02G03,02G03,Justus-von-Liebig-Grundschule,grundschule,green,02g03@02g03.schule.berlin.de,http://www.jvl-gs.de,Hauptstandort,Liebigstr. 18A,10247,52.518699,13.457697
02G04,02G04a,Pettenkofer-Grundschule,grundschule,green,Sekretariat@pettenkofer.schule.berlin.de,http://www.pettenkofer-grundschule.de,Hauptstandort,Pettenkoferstr. 20-24,10247,52.518656,13.471
02G07,02G07a,Ludwig-Hoffmann-Grundschule,grundschule,green,schulleitung@l-hoffmann.schule.berlin.de,http://www.ludwig-hoffmann-grundschule.de,Hauptstandort,Lasdehner Str. 21-23,10243,52.513902,13.448500
02G07,02G07b,Ludwig-Hoffmann-Grundschule,grundschule,green,,,Filiale,Lasdehner Str. 17,10243,52.514523,13.449147
02G07,02G07c,Ludwig-Hoffmann-Grundschule,grundschule,green,,,Filiale,Lasdehner Str. 13,10243,52.514798,13.449818
02G08,02G08,Grundschule am Traveplatz,grundschule,green,sek@gs-am-traveplatz.schule-berlin-fk.de,http://www.grundschule-am-traveplatz.de,Hauptstandort,Jessnerstr. 24-32,10247,52.511492,13.471855
02G09,02G09,Zille-Grundschule,grundschule,green,schulleitung@zille-grundschule.de,http://www.Zille-Grundschule.de,Hauptstandort,Boxhagener Str. 46,10245,52.50898,13.4653
02G10,02G10a,Modersohn-Grundschule,grundschule,green,Schulleitung@modersohn.schule.berlin.de,http://www.modersohn-schule.de,Hauptstandort,Niemannstr. 3,10245,52.50705,13.46024
02G10,02G10b,Modersohn-Grundschule,grundschule,green,,,Filiale,Corinthstraße 7,10245,52.501886,13.458622
02G11,02G11,Thalia-Grundschule,grundschule,green,Schulleitung@thalia-gs.schule.berlin.de,http://www.thalia-grundschule.de,Hauptstandort,Alt-Stralau 34,10245,52.492881,13.476151
02G12,02G12,Kurt-Schumacher-Grundschule,grundschule,green,02g12@02g12.schule.berlin.de,http://www.kurt-schumacher-grundschule.de,Hauptstandort,Puttkamerstr. 19,10969,52.504384,13.388493
02G13,02G13,Charlotte-Salomon-Grundschule,grundschule,green,Sekretariat@02G13.schule.berlin.de,http://www.charlotte-salomon-grundschule.de,Hauptstandort,Großbeerenstr. 40,10965,52.49041,13.38183
02G14,02G14a,Galilei-Grundschule,grundschule,green,sekretariat@galilei-grundschule.de,http://www.galilei-grundschule.de,Hauptstandort,Friedrichstr. 13,10969,52.501885,13.391531
02G16,02G16,Lenau-Grundschule,grundschule,green,info@lenau.net,http://lenau.net,Hauptstandort,Nostitzstr. 60,10961,52.49381,13.39154
02G18,02G18,Nürtingen-Grundschule,grundschule,green,sek@nuertingen.schule.berlin.de,http://www.nuertingen-grundschule.de,Hauptstandort,Mariannenplatz 28,10997,52.505234,13.427382
02G19,02G19,Fanny-Hensel-Grundschule,grundschule,green,info@fanny-hensel-grundschule.de,http://www.Fanny-Hensel-Grundschule.de,Hauptstandort,Schöneberger Str. 23,10963,52.50303,13.38014
02G20,02G20,Bürgermeister-Herz-Grundschule,grundschule,green,sekretariat@bmh.schule.berlin.de,http://www.bmh-schule.de,Hauptstandort,Wilmsstr. 10,10961,52.49488,13.40516
02G21,02G21,Reinhardswald-Grundschule,grundschule,green,sekretariat@reinhardswald.schule.berlin.de,http://www.reinhardswald-grundschule.de,Hauptstandort,Gneisenaustr. 73-74,10961,52.49059,13.3999
02G22,02G22,Jens-Nydahl-Grundschule,grundschule,green,sekretariat@jng.schule.berlin.de,,Hauptstandort,Kohlfurter Str. 20,10999,52.497294,13.41619
02G23,02G23a,Fichtelgebirge-Grundschule,grundschule,green,schulleitung@fichtelgebirge.schule.berlin.de,http://fichtelgebirge-grundschule-berlin.de,Hauptstandort,Görlitzer Ufer 2,10997,52.495740,13.445167
02G24,02G24,Otto-Wels-Grundschule,grundschule,green,sekretariat@otto-wels.schule.berlin.de,http://www.owg-berlin.de,Hauptstandort,Alexandrinenstr. 12,10969,52.499923,13.401623
02G26,02G26,Lemgo-Grundschule,grundschule,green,Sekretariat@lemgo.schule.de,http://www.lemgo-grundschule.de,Hauptstandort,Böckhstr. 5,10967,52.494198,13.416454
02G27,02G27,Hunsrück-Grundschule,grundschule,green,schulleitung@hunsrueck-grundschule.de,http://www.Hunsrueck-Grundschule.de,Hauptstandort,Manteuffelstr. 79,10999,52.497732,13.426632
02G29,02G29a,Heinrich-Zille-Grundschule,grundschule,green,Heinrich-Zille-GS@web.de,http://www.Heinrich-Zille-Grundschule.de,Hauptstandort,Waldemarstr. 118,10997,52.500729,13.429182
02G29,02G29b,Heinrich-Zille-Grundschule,grundschule,green,,,Filiale,Lausitzer Platz 9,10997,52.500249,13.431952
02G31,02G31,Adolf-Glaßbrenner-Grundschule,grundschule,green,Adolf-Glassbrenner-Schule@web.de,http://www.adolf-glassbrenner-schule.de,Hauptstandort,Hagelberger Str. 34,10965,52.49085,13.38065
02G32,02G32,Clara-Grunwald-Grundschule,grundschule,green,clara-grunwald-gs@gmx.de,http://www.clara-grunwald.cidsnet.de,Hauptstandort,Hallesche Str. 24,10963,52.50077,13.38313
02G33,02G33,Aziz-Nesin-Grundschule,grundschule,green,Sekretariat@aziz-nesin.schule.berlin.de,http://www.aziz-nesin-schule.de,Hauptstandort,Urbanstr. 15,10961,52.49312,13.40611
02G34,02G34,Jane-Goodall-Grundschule,grundschule,green,sekretariat@jane-goodall.schule.berlin.de,http://www.jane-goodall-grundschule.de,Hauptstandort,Scharnweberstr. 19,10247,52.51279,13.46783
02G35,02G35a,Rosa-Parks-Grundschule,grundschule,green,mail@rosa-parks-grundschule.de,http://www.rosa-parks-grundschule.de,Hauptstandort,Reichenberger Str. 65,10999,52.494703,13.432416
02G36,02G36a,Blumen-Grundschule,grundschule,green,buero@36-grundschule.de,http://www.36-grundschule.de,Hauptstandort,Andreasstr. 52,10243,52.516383,13.431463
02G36,02G36c,Blumen-Grundschule,grundschule,green,,,Filiale,Singerstraße 87,10243,52.515704,13.429960
02K01,02K01,Ellen-Key-Schule,iss,beige,sek@e.key-os.schule-berlin-fk.de,http://www.eko-online.net,Hauptstandort,Rüdersdorfer Str. 20-28,10243,52.5152,13.43689
02K02,02K02,Carl-von-Ossietzky-Schule (Gemeinschaftsschule),gemeinschaft,lightgreen,sekretariat@cvo-berlin.de,http://www.cvo-berlin.de,Hauptstandort,Blücherstr. 46,10961,52.491647,13.404491
02K03,02K03a,Hector-Peterson-Schule,iss,beige,sekretariat@hps-berlin.schule,http://www.hps-berlin.schule,Hauptstandort,Tempelhofer Ufer 15,10963,52.49832,13.3841
02K04,02K04,Lina-Morgenstern-Schule (Gemeinschaftsschule),gemeinschaft,lightgreen,schulleitung@lmg.schule.berlin.de,http://lina-morgenstern-gemeinschaftsschule.de,Hauptstandort,Gneisenaustr. 7,10961,52.49178,13.38971
02K05,02K05,Schule am Königstor (Integrierte Sekundarschule),iss,beige,sek@koenigstor-os.schule-berlin-fk.de,www.schule-am-koenigstor.de,Hauptstandort,Weinstr. 3,10249,52.525666,13.425987
02K06,02K06,Emanuel-Lasker-Schule,iss,beige,sekretariat@els.schule,http://www.els.schule,Hauptstandort,Modersohnstr. 53,10245,52.50277,13.45729
02K07,02K07,Georg-Weerth-Schule,iss,beige,info@georg-weerth-schule.de,http://www.georg-weerth-schule.de,Hauptstandort,Eckertstr. 16,10249,52.518996,13.450401
02K08,02K08a,Refik-Veseli-Schule (Integrierte Sekundarschule),iss,beige,sekretariat@refik-veseli-schule.eu,http://www.schule-skalitzer.de,Hauptstandort,Skalitzer Str. 55,10997,52.499022,13.435697
02K08,02K08b,Refik-Veseli-Schule (Integrierte Sekundarschule),iss,beige,,,Filiale,,,,
02K09,02K09,Albrecht-von-Graefe-Schule (Integrierte Sekundarschule),iss,beige,sekretariat@graefemail.de,http://www.albrecht-von-graefe-schule.de,Hauptstandort,Graefestr. 85-88,10967,52.494205,13.418709
02K10,02K10,Ferdinand-Freiligrath-Schule (Integrierte Sekundarschule),iss,beige,sekretariat@ferdinand-freiligrath-schule.de,http://www.ferdinand-freiligrath-schule.de,Hauptstandort,Bergmannstr. 64,10961,52.488798,13.40149
02S01,02S01,Temple-Grandin-Schule,sonderpaedagogik,pink,Schulleitung@temple-grandin.schule.berlin.de,http://www.temple-grandin-schule.de,Hauptstandort,Lasdehner Str. 19,10243,52.514599,13.449366
02S02,02S02,Gustav-Meyer-Schule,sonderpaedagogik,pink,02S02@02S02.schule.berlin.de,,Hauptstandort,Kohlfurter Str. 22,10999,52.497102,13.416721
02S03,02S03,Margarethe-von-Witzleben-Schule,sonderpaedagogik,pink,schulleitung@witzleben.schule.berlin.de,http://www.witzleben-schule.de,Hauptstandort,Palisadenstr. 76-77,10243,52.51984,13.4346
02S06,02S06,Liebmann-Schule,sonderpaedagogik,pink,02S06@02S06.schule.berlin.de,,Hauptstandort,Friedrichstr. 13,10969,52.501885,13.391531
02Y01,02Y01,Andreas-Gymnasium,gymnasium,orange,sekretariat@andreas.schule.berlin.de,http://www.andreas-schule.org,Hauptstandort,Koppenstr. 76,10243,52.514039,13.434606
02Y03,02Y03,Heinrich-Hertz-Gymnasium,gymnasium,orange,Sek@H.Hertz-OS.Schule-Berlin-FK.de,http://www.hhgym.de,Hauptstandort,Rigaer Str. 81-82,10247,52.51695,13.46306
02Y04,02Y04,Georg-Friedrich-Händel-Gymnasium,gymnasium,orange,sekretariat@haendelgym.de,http://www.haendelgym.de,Hauptstandort,Frankfurter Allee 6A,10247,52.515331,13.455796
02Y05,02Y05,Dathe-Gymnasium,gymnasium,orange,sek@dathe-gymnasium.de,http://www.dathe-gymnasium.de,Hauptstandort,Helsingforser Str. 11-13,10243,52.510001,13.445399
02Y06,02Y06,Leibniz-Gymnasium,gymnasium,orange,sekretariat@leibnizschule-berlin.de,http://www.leibnizschule-berlin.de,Hauptstandort,Schleiermacherstr. 23,10961,52.48978,13.39747
02Y07,02Y07a,Robert-Koch-Gymnasium,gymnasium,orange,Koch-Gymnasium@web.de,http://www.Robert-Koch-Oberschule.de,Hauptstandort,Dieffenbachstr. 60,10967,52.493088,13.415334
02Y08,02Y08a,Hermann-Hesse-Gymnasium,gymnasium,orange,kontakt@hesse-kreuzberg.de,http://www.hesse-kreuzberg.de,Hauptstandort,Böckhstr. 16,10967,52.493579,13.419151
03B02,03B02,Berufliche Schule für Sozialwesen Pankow,osz,black,sekretariat@schule-sozialwesen-pankow.de,http://www.schule-sozialwesen-pankow.de,Hauptstandort,Erbeskopfweg 6-10,13158,52.59409,13.40031
03B04,03B04a,Brillat-Savarin-Schule (OSZ Gastgewerbe),osz,black,sekretariat@osz-gastgewerbe.de,https://www.osz-gastgewerbe.de,Hauptstandort,Buschallee 23a,13088,52.55292,13.4757
03B04,03B04b,Brillat-Savarin-Schule (OSZ Gastgewerbe),osz,black,,,Filiale,Darßer Str. 97,13051,52.564826,13.49252
03B06,03B06,Konrad-Zuse-Schule,osz,black,sekretariat@kzsb.de,http://www.konrad-zuse-schule-berlin.de,Hauptstandort,Hermann-Hesse-Str. 34-36,13156,52.579347,13.3956766
03B07,03B07a,Elinor-Ostrom-Schule (OSZ Bürowirtschaft und Dienstleistungen),osz,black,info@oszeos.de,http://www.oszeos.de,Hauptstandort,Mandelstr. 6-8,10409,52.54575,13.44136
03B07,03B07b,Elinor-Ostrom-Schule (OSZ Bürowirtschaft und Dienstleistungen),osz,black,,,Filiale,Pappelallee 30-31,10437,52.545513,13.417528
03B07,03B07c,Elinor-Ostrom-Schule (OSZ Bürowirtschaft und Dienstleistungen),osz,black,,,Filiale,Driesener Str. 22,10439,52.552128,13.405720
03B08,03B08,Staatliche Ballettschule Berlin und Schule für Artistik,osz,black,schulleitung@ballettschule-berlin.de,http://www.ballettschule-berlin.de/,Hauptstandort,Erich-Weinert-Str. 103,10409,52.546089,13.435337
03B10,03B10,"Max-Bill-Schule (OSZ Planen, Bauen, Gestalten)",osz,black,info@max-bill-schule.de,https://www.max-bill-schule.net,Hauptstandort,Gustav-Adolf-Str. 66,13086,52.5594133,13.4483848
03G01,03G01,Schule am Hamburger Platz (Grundschule),grundschule,green,info@schule-am-hamburger-platz.de,http://www.schule-am-hamburger-platz.de,Hauptstandort,Gustav-Adolf-Str. 21,13086,52.55381,13.43681
03G02,03G02,Heinrich-Roller-Grundschule,grundschule,green,sekretariat@roller.schule.berlin.de,http://www.Heinrich-Roller-Grundschule.de,Hauptstandort,Heinrich-Roller-Str. 18,10405,52.53064,13.42364
03G03,03G03,Grundschule am Kollwitzplatz,grundschule,green,Sekretariat@gsak.schule.berlin.de,http://www.gs-am-Kollwitzplatz.de,Hauptstandort,Knaackstr. 67,10435,52.53768,13.41489
03G04,03G04,Grundschule an der Marie,grundschule,green,Sekretariat@marie.schule.berlin.de,http://www.schule-an-der-Marie.de,Hauptstandort,Christburger Str. 7,10405,52.536148,13.42559
03G05,03G05,Homer-Grundschule,grundschule,green,post@homergs.de,http://www.homer-grundschule.de,Hauptstandort,Pasteurstr. 10-12,10407,52.53371,13.43237
03G06,03G06,Bötzow-Grundschule,grundschule,green,info@boetzow-grundschule.de,http://www.boetzow-grundschule.de,Hauptstandort,John-Schehr-Str. 38,10407,52.535104,13.439793
03G08,03G08,Grundschule am Planetarium,grundschule,green,03G08@03G08.schule.berlin.de,http://www.gsap.de,Hauptstandort,Ella-Kay-Str. 47,10405,52.54145,13.43118
03G09,03G09,Thomas-Mann-Grundschule,grundschule,green,03g09@03g09.schule.berlin.de,http://www.thomas-mann-grundschule.de,Hauptstandort,Greifenhagener Str. 58-59,10437,52.54663,13.41479
03G10,03G10,Grundschule am Hohen Feld,grundschule,green,sekretariat@grundschule-amhohenfeld.de,http://grundschule-amhohenfeld.de,Hauptstandort,Bedeweg 1,13125,52.61492,13.49606
03G11,03G11,Schule am Falkplatz (Grundschule),grundschule,green,schulleiterin@schule-am-falkplatz.berlin,http://www.schule-am-falkplatz.berlin,Hauptstandort,Gleimstr. 49,10437,52.54749,13.40538
03G12,03G12,Paul-Lincke-Grundschule,grundschule,green,paul-lincke-grundschule@gmx.de,,Hauptstandort,Pieskower Weg 39,10409,52.54129,13.44553
03G13,03G13,Rudolf-Dörrier-Grundschule,grundschule,green,info@doerrier-grundschule.de,,Hauptstandort,Kastanienallee 59,13158,52.59125,13.37612
03G14,03G14,Bornholmer Grundschule,grundschule,green,bornholmer14@t-online.de,http://www.bornholmer-grundschule.de,Hauptstandort,Ibsenstr. 17,10439,52.55572,13.40768
